id,last_scraped,host_id,latitude,longitude,property_type,accommodates,bedrooms,price
3861476,5/25/15,16577861,33.99820213,-118.4761964,Apartment,4,1,$145.00 
6431889,5/25/15,18993265,33.98510023,-118.4697376,Apartment,4,1,$175.00 
5754633,5/25/15,15241342,33.74015215,-118.3957538,Villa,2,1,$295.00 
6302541,5/25/15,32776680,34.09995512,-118.3115838,Condominium,2,1,$110.00 
4469657,5/25/15,10658835,33.99726851,-118.478744,Loft,4,2,$600.00 
198613,5/24/15,969656,34.08716433,-118.3440834,House,2,1,$95.00 
2994256,5/25/15,15241281,34.09407621,-118.3499372,House,1,1,$90.00 
3972305,5/25/15,11712907,34.06859933,-118.3636848,House,5,3,$274.00 
1245087,5/25/15,4924261,34.16056822,-118.3763595,Apartment,5,2,$99.00 
2650178,5/25/15,13566359,34.00062651,-118.4674017,Apartment,4,2,$159.00 
6477172,5/25/15,29753813,34.09713696,-118.3656868,Apartment,6,2,$200.00 
479165,5/25/15,1034827,33.76899251,-118.1771275,Apartment,3,2,$150.00 
1212511,5/24/15,6619140,33.72607889,-118.3007972,House,5,2,$140.00 
5979141,5/25/15,28659018,34.00243409,-118.3574978,House,3,1,$54.00 
495207,5/25/15,2154178,33.98816524,-118.4633957,House,5,3,$300.00 
776201,5/25/15,1497543,34.04566841,-118.3136767,Dorm,16,1,$38.00 
6391778,5/24/15,6867897,34.04929735,-118.2487093,Apartment,2,1,$169.00 
5488107,5/25/15,14727082,34.09417448,-118.2875596,Apartment,6,2,$139.00 
5298927,5/25/15,27447557,34.12008145,-118.2545408,Apartment,2,1,$55.00 
4625231,5/24/15,23919209,34.09145621,-118.5994996,House,6,3,$375.00 
5238538,5/25/15,23297576,34.14468059,-118.1519745,Apartment,5,1,$119.00 
6250143,5/25/15,24621701,33.98608178,-117.9048838,Apartment,3,1,$40.00 
661615,5/24/15,2843044,33.97727306,-118.4648181,House,2,1,$125.00 
6412905,5/25/15,21068141,34.14467216,-118.2554546,Apartment,4,2,$265.00 
4794649,5/25/15,24709006,34.0795238,-118.3833925,Apartment,3,2,$215.00 
