id,last_scraped,host_id,latitude,longitude,accommodates,bedrooms,price
109,3/7/19,521,33.98209,-118.38494,6,2,122.00
344,3/7/19,767,34.16562,-118.33458,6,3,168.00
2708,3/7/19,3008,34.09768,-118.34602,1,1,79.00
2732,3/7/19,3041,34.00475,-118.48127,1,1,140.00
2864,3/6/19,3207,33.87619,-118.11397,2,1,80.00
3021,3/7/19,3415,34.11132,-118.38227,2,1,110.00
5728,3/7/19,9171,33.98833,-118.43224,2,1,75.00
5729,3/7/19,9171,33.98685,-118.43266,3,1,105.00
5843,3/7/19,9171,33.98782,-118.4317,5,2,303.00
6033,3/6/19,11619,34.16825,-118.64438,2,1,85.00
6931,3/7/19,3008,34.09521,-118.34801,1,1,99.00
7143,3/7/19,18122,34.03475,-118.37751,2,1,80.00
7874,3/7/19,21700,33.8761,-118.11509,2,1,45.00
7992,3/7/19,22363,34.11543,-118.2609,4,1,75.00
8021,3/7/19,22460,34.0641,-118.3803,2,1,129.00
8745,3/7/19,26069,34.17205,-118.3858,1,1,65.00
8746,3/7/19,26069,34.17212,-118.38623,1,1,52.00
8747,3/7/19,26069,34.17291,-118.38417,3,1,39.00
8770,3/7/19,26996,33.99399,-118.45637,2,0,121.00
9140,3/7/19,28350,33.77206,-118.18893,2,1,90.00
9376,3/7/19,30319,33.99638,-118.47734,1,1,95.00
9545,3/7/19,31306,33.83823,-118.38569,1,1,70.00
10760,3/7/19,38596,34.05437,-118.35641,2,1,74.00
11374,3/7/19,42220,33.90348,-118.29269,2,1,80.00
11511,3/7/19,40884,34.11479,-118.32289,2,1,195.00
11877,3/7/19,30484,33.99753,-118.47226,2,0,80.00
12320,3/7/19,47757,34.05864,-118.34352,5,2,189.00
13776,3/7/19,31306,33.83847,-118.38522,4,1,150.00
14098,3/7/19,55411,34.11959,-118.32056,2,1,275.00
14124,3/7/19,31306,33.83984,-118.3871,4,1,175.00
14273,3/7/19,56047,34.10249,-118.24824,2,1,95.00
14337,3/7/19,56327,33.84042,-118.32062,2,1,90.00
14945,3/7/19,58823,34.08854,-118.37622,2,1,179.00
15333,3/7/19,60057,34.16701,-118.41118,6,2,395.00
15440,3/7/19,60473,33.99359,-118.46049,2,0,140.00
15766,3/7/19,61715,34.12608,-118.18517,2,2,130.00
16690,3/7/19,64837,34.13415,-118.41318,1,1,110.00
17860,3/7/19,55422,33.98816,-118.45377,6,0,175.00
18041,3/6/19,69546,33.99138,-118.45087,8,3,300.00
18067,3/7/19,69546,33.99065,-118.44962,6,2,200.00
20109,3/7/19,76111,34.05433,-118.39389,4,2,140.00
20585,3/6/19,77857,33.98065,-118.46519,2,1,124.00
20786,3/7/19,55411,34.11939,-118.32044,2,1,195.00
20965,3/7/19,79697,34.09845,-118.32151,2,1,74.00
21982,3/7/19,84161,34.03789,-118.47249,2,1,103.00
22023,3/7/19,84340,34.0359,-118.47732,2,1,100.00
22214,3/7/19,85215,34.19794,-118.22479,2,1,60.00
22355,3/7/19,55411,34.11821,-118.32178,2,1,145.00
22496,3/7/19,86459,34.08947,-118.25579,3,1,190.00
23363,3/7/19,91335,34.10312,-118.25778,2,0,97.00
23710,3/7/19,94038,34.12003,-118.19038,2,1,80.00
23925,3/7/19,95543,34.00416,-118.46602,2,1,249.00
23979,3/7/19,55411,34.11861,-118.32019,2,1,160.00
24028,3/7/19,95543,34.00246,-118.46515,2,1,249.00
24030,3/7/19,96147,33.98798,-118.47301,2,1,125.00
24041,3/7/19,39253,33.83179,-118.38328,2,1,125.00
24349,3/7/19,98565,34.1078,-118.21864,5,2,250.00
25445,3/7/19,105868,34.02361,-118.3871,3,1,95.00
25670,3/7/19,107370,34.04727,-118.44058,1,1,90.00
25672,3/7/19,107473,34.08044,-118.29805,2,0,130.00
26082,3/7/19,11619,34.16678,-118.64374,2,1,69.00
26157,3/7/19,107370,34.04636,-118.44043,1,1,99.00
27558,3/7/19,119098,33.98958,-118.46812,6,3,450.00
28529,3/6/19,55411,34.12021,-118.32229,2,2,255.00
28547,3/7/19,122986,34.03922,-118.53984,5,2,150.00
30474,3/7/19,105868,34.02355,-118.38688,2,1,90.00
30725,3/7/19,132239,34.01142,-118.47957,2,1,87.00
31237,3/7/19,134109,34.10313,-118.28628,3,1,90.00
31280,3/7/19,134327,34.0699,-118.34453,3,1,75.00
31939,3/7/19,137490,34.0683,-118.24434,2,1,79.00
32570,3/7/19,140947,34.09005,-118.08568,2,1,50.00
32963,3/7/19,142776,33.99335,-118.44387,4,2,180.00
33399,3/7/19,140939,34.00095,-118.43381,2,1,65.00
33447,3/7/19,144837,34.01282,-118.8053,2,1,185.00
33449,3/7/19,144855,34.13643,-118.19722,2,0,68.00
35802,3/7/19,153819,34.03733,-118.62651,5,3,1200.00
35922,3/7/19,154164,34.00906,-118.49282,6,3,900.00
37036,3/7/19,159886,33.80113,-118.34842,4,2,99.00
37069,3/7/19,160088,34.00709,-118.47555,2,1,87.00
37171,3/7/19,160505,34.03303,-118.32943,3,1,100.00
37466,3/7/19,161668,34.05827,-118.34061,2,1,75.00
38365,3/7/19,3415,34.1083,-118.38053,2,1,66.00
40649,3/7/19,175264,34.04085,-118.38065,2,1,43.00
40667,3/7/19,175264,34.04034,-118.38207,2,1,46.00
41156,3/7/19,173375,34.1409,-118.41522,1,1,67.00
41277,3/7/19,179618,34.14686,-118.45436,2,1,59.00
42165,3/7/19,137490,34.06407,-118.24338,2,1,79.00
43318,3/7/19,57161,34.04852,-118.23693,1,1,45.00
43776,3/7/19,191460,34.10421,-118.26004,2,1,52.00
44062,3/7/19,192939,34.09179,-118.33111,2,1,124.00
44509,3/7/19,195656,34.19684,-118.45929,2,1,50.00
44520,3/7/19,179142,34.08273,-118.27033,1,1,49.00
45392,3/7/19,201514,34.10837,-118.22412,3,1,65.00
45417,3/7/19,201467,34.09553,-118.27614,4,1,145.00
46433,3/6/19,64837,34.13588,-118.41178,1,1,85.00
46446,3/7/19,192551,34.07954,-118.28528,2,1,69.00
46699,3/7/19,195697,33.91834,-118.20869,2,1,58.00
46853,3/7/19,75052,34.08556,-118.28338,2,1,125.00
46858,3/7/19,210344,34.01277,-118.4083,6,3,275.00
47078,3/7/19,211786,34.11366,-118.33105,2,1,109.00
47478,3/7/19,215118,34.11036,-118.27577,3,1,65.00
47537,3/7/19,215462,34.02956,-118.75532,4,1,300.00
47794,3/6/19,217470,33.99355,-118.44284,2,1,100.00
49573,3/7/19,222063,34.2774,-118.47958,2,1,53.00
49731,3/7/19,227075,34.15563,-118.23521,1,1,57.00
50005,3/7/19,49391,34.09596,-118.34985,2,1,130.00
50358,3/7/19,230943,34.04095,-118.30651,2,2,50.00
51307,3/7/19,235568,34.12026,-118.26773,2,1,72.00
51498,3/7/19,236758,34.00581,-118.44356,2,0,109.00
51546,3/7/19,237114,34.11893,-118.32189,6,1,130.00
51922,3/7/19,239712,34.01355,-118.49685,2,0,185.00
52740,3/7/19,140939,34.00018,-118.43358,3,1,59.00
52871,3/7/19,245280,34.06197,-118.39887,4,1,160.00
53125,3/7/19,239712,34.01155,-118.49564,2,0,130.00
53579,3/7/19,239712,34.01357,-118.49539,4,1,195.00
53945,3/7/19,239905,34.06132,-118.3703,2,1,135.00
54829,3/7/19,257925,34.00061,-118.46353,3,1,125.00
55427,3/7/19,261676,33.98934,-118.47375,4,1,125.00
55590,3/7/19,262696,34.07517,-118.26623,2,1,90.00
60622,3/7/19,292257,33.85927,-118.40042,2,1,135.00
60935,3/7/19,294390,34.04762,-118.30594,2,1,80.00
60940,3/7/19,294390,34.05076,-118.30677,3,2,100.00
61153,3/7/19,3415,34.11046,-118.38127,2,1,64.00
61578,3/7/19,298123,33.99201,-118.4699,6,2,600.00
61582,3/7/19,298216,34.11235,-118.23207,2,0,78.00
63416,3/7/19,309512,34.11547,-118.32416,2,1,125.00
64574,3/7/19,285079,34.1273,-118.32003,4,2,250.00
66456,3/7/19,325435,34.08721,-118.30553,2,1,175.00
